,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
haberman,28.57,36.07,41.79,40.68,36.92,41.27,28.57,43.48,37.5,40,38.1,45.16,0,40,42.62,32.35,36.67,36.11,0,36.36,35.48,28.28,43.08,38.64,41.03,43.24,41.03,41.03,43.24,43.24,41.03,44.44,41.03,41.03,41.03,44.44,16.67,42.31,43.24,39.29,39.34,40,16.67,36.73,44.83,36,44,46.43
new-thyroid1,88,88.89,88.89,88.89,84.62,64.86,72.73,88.89,88,88.89,58.54,88.89,84.62,88,100,91.67,84.62,68.75,85.71,95.65,91.67,92.31,70.59,100,91.67,86.96,86.96,86.96,86.96,74.07,92.31,86.96,86.96,91.67,51.06,96,95.65,88.89,88.89,92.31,91.67,62.86,77.42,92.31,92.31,88.89,61.54,92.31
new-thyroid2,100,95.65,95.65,95.65,100,84.62,95.65,100,95.65,100,91.67,100,90.91,95.65,88,100,95.65,59.46,81.48,91.67,95.65,95.65,91.67,95.65,90.91,90.91,90.91,95.65,90.91,24.62,88,95.65,90.91,95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,68.75,95.65,95.65,95.65,95.65,88,95.65
page-blocks0,82.64,73.68,67.96,72.82,72.62,16.84,82.64,74.13,76.03,34.41,64.92,79.41,42.86,35.66,33.29,34.94,30.39,16.84,44.15,40.83,39.28,35.67,32.84,44.63,40.06,38.87,36.58,36.29,42.25,16.84,40.06,28.23,39.03,39.32,45.45,40.35,70.87,66.83,61.7,62.53,66.34,22.09,70.87,66.51,66.5,46.56,64.77,70.15
pima,58.28,59.38,58.82,60.3,60.1,57.01,58.71,63.89,64.48,63.28,62.44,65.26,44.25,57.83,53.97,54.38,49.69,47.14,58.76,58.09,58.33,49.06,57.84,59.07,58.51,61.11,56.52,58.96,56.83,48.18,56.28,58.47,57.46,59.78,60.1,61.38,62.72,60.23,58.2,58.18,61.93,53.28,61.11,56.25,61.05,60.42,59.18,66.33
vehicle0,82.05,83.72,82.44,83.72,83.05,75.16,79.47,83.72,82.54,79.69,82.71,82.81,62.75,80.7,80.65,76.64,49.09,62.34,79.34,64.76,70.59,74.78,64.05,76.79,50.85,50.3,53.25,50.56,50.89,56.88,53.97,50.56,51.72,51.69,53.55,53.85,95.38,93.23,92.54,94.66,92.68,72.19,77.5,91.04,93.23,91.18,91.18,93.23
vehicle1,39.02,60,54.44,53.71,53.42,53.18,56.7,58.33,57.63,56.82,58.71,58.82,0,57.63,57.29,50.31,36.8,48.03,55.71,53.54,54.55,45.24,44.44,58.03,55.61,57.14,56.84,58.03,58.03,49.6,55.45,55.17,57.3,56.38,56.54,58.03,58.16,67.86,72.34,66.67,73.45,52.17,63.41,68.02,71.82,73.96,69.44,75.26
vehicle2,87.88,83.92,82.19,83.33,86.57,73.2,81.08,83.19,83.33,82.76,73.75,84.51,88.52,92.8,77.85,93.65,85.71,37.62,90.62,76.92,84.89,82.86,84.89,91.34,71.01,75,62.07,56.21,58.39,38.34,67.15,66.17,68.06,70.5,65.77,73.24,91.8,88.55,89.23,88.72,86.57,44.94,84.29,80.82,90.62,90.62,84.06,90.62
vehicle3,45,50,53.01,50.59,49.66,50.54,49.7,53.85,53.63,52.83,55.37,53.59,52.04,50.85,54.55,43.04,50.98,40,48.28,49.7,55.95,46.71,50.27,58.97,50.59,50.89,55.56,56.82,48.81,45.78,50.83,49.72,49.4,50.59,50.29,51.43,63.83,67.46,64.21,67.84,61.78,40.85,60.77,60.3,62.43,63.21,57.14,67.04
yeast3,78.38,71.91,68.82,67.42,64.65,31.13,53.15,66.67,71.11,18.85,68,68.69,76.4,32.79,49.38,30.11,53.33,17.35,0,46.15,69.14,17.23,69.9,19.05,26.37,30.4,25.89,29.2,19.11,8.16,19.85,33.93,32.62,20,22.28,30.15,77.33,71.11,68,71.84,71.56,25.47,70.27,70.48,71.74,18.02,74.36,72.73
